site,year,flow
1181000,1936,175.3
1181000,1937,218.4
1181000,1938,264.8
1181000,1939,175.2
1181000,1940,175.4
1181000,1941,99.3
1181000,1942,161
1181000,1943,224.8
1181000,1944,141.3
1181000,1945,253.4
1181000,1946,165.5
1181000,1947,161.6
1181000,1948,191.9
1181000,1949,164.7
1181000,1950,142.3
1181000,1951,198
1181000,1952,254.6
1181000,1953,224
1181000,1954,170
1181000,1955,242.7
1181000,1956,287.2
1181000,1957,118
1181000,1958,173.5
1181000,1959,150.8
1181000,1960,242.3
1181000,1961,185.5
1181000,1962,118.2
1181000,1963,126.9
1181000,1964,140.1
1181000,1965,73.6
1181000,1966,96.4
1181000,1967,165.1
1181000,1968,177.7
1181000,1969,198.6
1181000,1970,199.1
1181000,1971,169
1181000,1972,296.3
1181000,1973,276.5
1181000,1974,218.8
1181000,1975,252.9
1181000,1976,241.2
1181000,1977,202.4
1181000,1978,249.8
1181000,1979,238.9
1181000,1980,191.6
1181000,1981,115.9
1181000,1982,193.4
1181000,1983,229.1
1181000,1984,285.7
1181000,1985,87.4
1181000,1986,161.7
1181000,1987,193.8
1181000,1988,181.8
1181000,1989,203.8
1181000,1990,241.2
1181000,1991,168.4
1181000,1992,178.1
1181000,1993,238.7
1181000,1994,184.7
1181000,1995,135.6
1181000,1996,302.1
1181000,1997,217.4
1181000,1998,206.2
1181000,1999,162.8
1181000,2000,241.4
1181000,2001,194.8
1181000,2002,109.5
1181000,2003,219.9
1181000,2004,270.2
1181000,2005,208.7
1181000,2006,297.5
1181000,2007,219.2
1181000,2008,243.5
1181000,2009,242.1
1181000,2010,205
1181000,2011,319.9
1181000,2012,194.9
1181000,2013,203.2
1181000,2014,192.6
1181000,2015,181.4