1980,38.31,34.32,NA,NA
1981,36.46,34.99,39.96,37.58
1982,41.11,31.83,35.22,37.5
1983,39.5,NA,NA,43.96
1984,37.42,33.64,41.13,37.06
1985,46,30,39.68,38.85
1986,39.66,36.28,42.21,38.95
1987,42.15,34.08,36.26,34.44
1988,38.61,24.6,41.09,NA
1989,41.16,32.66,40.18,43.02
1990,50.89,40.14,49.79,48.55
1991,40.2,29.23,43.91,39.24
1992,47.56,36.26,54.66,42.57
1993,40.66,29.14,40.23,39.38
1994,36.72,29.54,NA,40.34
1995,33.99,30,41.06,34.83
1996,48.2,45.06,50.21,46.19
1997,41.08,34.68,40.51,38.55
1998,34.7,41.96,39.25,39.51
1999,34.08,33.15,38.13,37.87
2000,42.2,37.83,43.47,44.61
2001,35.18,29.18,33.23,38.63
2002,39.74,34.36,42.55,41.92
2003,NA,31.68,45.94,NA
2004,41.73,37.81,42.46,40.46
2005,39.07,35.43,44.46,52.14
2006,44.41,41.06,44.31,45.36
2007,35.12,32.46,40.89,41.66
2008,47.31,33.2,55.97,52.92
2009,44.31,33.57,37.98,39.11
2010,36.72,37.47,48.35,41.96